,Round Number,Seed,solution,Location Counter,Location Created,Location Created Sum,Location Deleted,Location Deleted Sum,Location Read,Location Read Sum,Location Write,Location Write Sum,Memory Read,Memory Read Sum,Memory Write,Memory Write Sum,Particle Counter,Particles Created,Particles Created Sum,Particles Deleted,Particles Deleted Sum,Particles Dropped,Particles Dropped Sum,Particle Read,Particle Read Sum,Particle Steps,Particle Steps Sum,Particles Taken,Particles Taken Sum,Particle Write,Particle Write Sum,Success Counter,Success Round,Tile Counter,Tiles Created,Tiles Created Sum,Tiles Deleted,Tiles Deleted Sum,Tiles Dropped,Tiles Dropped Sum,Tile Read,Tile Read Sum,Tiles Taken,Tiles Taken Sum,Tile Write,Tile Write Sum
,1,12,marking,148,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,12,marking,150,4,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,12,marking,152,4,8,4,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,12,marking,153,4,12,4,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,12,marking,153,4,16,4,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,12,marking,153,4,20,4,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,12,marking,155,4,24,4,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,12,marking,158,4,28,4,28,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,12,marking,162,4,32,4,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,12,marking,163,4,36,4,36,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,12,marking,166,4,40,4,40,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,12,marking,167,4,44,4,44,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,40,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,12,marking,171,4,48,4,48,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,43,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,12,marking,173,4,52,4,52,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,12,marking,178,4,56,4,56,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,4,51,0,0,5,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,12,marking,179,4,60,4,60,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,55,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,17,12,marking,184,4,64,4,64,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,58,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,18,12,marking,190,4,68,4,68,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,62,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,19,12,marking,197,4,72,4,72,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,66,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,20,12,marking,200,4,76,4,76,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,70,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,21,12,marking,208,4,80,4,80,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,74,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,22,12,marking,211,4,84,4,84,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,78,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,23,12,marking,217,4,88,4,88,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,82,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,12,marking,218,4,92,4,92,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,86,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,25,12,marking,223,4,96,4,96,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,90,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,26,12,marking,228,4,100,4,100,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,94,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,27,12,marking,232,4,104,4,104,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,98,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,28,12,marking,234,4,108,4,108,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,102,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,29,12,marking,238,4,112,4,112,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,106,0,0,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,30,12,marking,240,4,116,4,116,0,0,0,0,0,0,3,8,4,0,0,0,0,0,0,0,0,4,110,0,0,3,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,31,12,marking,243,4,120,4,120,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,114,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,32,12,marking,248,4,124,4,124,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,118,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,33,12,marking,254,4,128,4,128,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,122,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,34,12,marking,260,4,132,4,132,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,126,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,35,12,marking,263,4,136,4,136,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,130,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,36,12,marking,270,4,140,4,140,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,134,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,37,12,marking,272,4,144,4,144,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,138,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,38,12,marking,276,4,148,4,148,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,142,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,39,12,marking,281,4,152,4,152,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,146,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,40,12,marking,284,4,156,4,156,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,150,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,41,12,marking,287,4,160,4,160,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,154,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,42,12,marking,290,4,164,4,164,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,158,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,43,12,marking,293,4,168,4,168,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,162,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,44,12,marking,297,4,172,4,172,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,166,0,0,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,45,12,marking,299,4,176,4,176,0,0,0,0,0,0,1,9,4,0,0,0,0,0,0,0,0,4,170,0,0,1,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,46,12,marking,302,4,180,4,180,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,174,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,47,12,marking,309,4,184,4,184,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,178,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,48,12,marking,317,4,188,4,188,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,182,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,49,12,marking,323,4,192,4,192,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,186,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,50,12,marking,328,4,196,4,196,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,190,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,51,12,marking,336,4,200,4,200,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,194,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,52,12,marking,343,4,204,4,204,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,198,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,53,12,marking,351,4,208,4,208,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,202,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,54,12,marking,357,4,212,4,212,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,206,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,55,12,marking,364,4,216,4,216,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,210,0,0,0,9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
